Name,nc_state,degree,weightedDegree,betweenness,closeness,eigenvector,community
"Li, Xuanwen",False,15.0,15.0,0.0,0.21435431355555035,4.784394941108362e-09,5280
"Lin, Kailai",False,7.0,15.0,0.17916666666666664,0.5079006772009029,3.1868332583331913e-15,2620
"Lin, Shaodan",False,12.0,15.0,4.5,0.2257499506611407,3.19576922550056e-08,590
"Lin, You-Chen",True,8.0,15.0,7.25,0.19227213514308528,7.382120135880023e-11,5280
"Lipschitz, Forbes",False,15.0,15.0,0.0,0.2257165408711953,3.3698980924407815e-08,7223
"Liu, Jintong",False,15.0,15.0,0.0,0.22019827710669426,2.447787843114732e-07,5280
"Lomenzo, Patrick D",False,12.0,15.0,104.8117522229802,0.2503077217648185,1.491386616174232e-07,6455
"Loopstra, Carol",False,15.0,15.0,0.0,0.24219887250880026,6.204129903276668e-08,4777
"Lootens, Peter",False,15.0,15.0,0.0,0.26660645612399486,3.997463094925386e-06,764
"Lorenz, Aaron J.",False,15.0,15.0,0.0,0.234960330705831,2.7947470171015856e-08,7766
"Lyon, David A.",False,15.0,15.0,0.0,0.23901687300841037,1.477167404694059e-08,5942
"Ma, Qiyue",False,15.0,15.0,0.0,0.23901687300841037,1.477167404694059e-08,5942
"Mandal, Mihir",False,15.0,15.0,0.0,0.24219887250880026,6.204129903276668e-08,4777
"Mao, Shiwen",False,8.0,15.0,3.0,0.1744077455259296,5.99435876846625e-10,6392
"Marocco, Adriano",False,10.0,15.0,0.9999999999999999,0.23201744377678052,1.731004591322007e-08,7766
"Marris, Emma",False,15.0,15.0,0.0,0.2257165408711953,3.5133147478296045e-08,7223
"Matcham, Emma",False,15.0,15.0,0.0,0.23120262758969176,4.599844392537648e-06,7304
"McEvoy, Susan",False,15.0,15.0,0.0,0.24219887250880026,6.204129903276668e-08,4777
"Mendola, Kerri M.",False,15.0,15.0,0.0,0.21435431355555035,4.784394941108362e-09,5280
"Millard, Mark J.",False,15.0,15.0,0.0,0.234960330705831,2.7947470171015856e-08,7766
"Min, Lie",False,15.0,15.0,0.0,0.21435431355555035,4.784394941108362e-09,5280
"Mirsky, S.B.",False,14.0,15.0,7500.064581836326,0.2562300498403987,4.4892566621391074e-06,7304
"Mitchem, Wayne",True,5.0,15.0,0.0,0.24588225810785394,1.0661437910688604e-06,3634
"Mochiah, M. Brandford",False,15.0,15.0,0.0,0.24222451626565022,2.4311797520811766e-06,7304
"Mochiah, Moses B.",False,15.0,15.0,0.0,0.24722409833851142,2.1576067577306415e-06,7304
"Mohamed, Hager",False,12.0,15.0,5.0,0.2174615622252323,5.543699858032832e-08,5541
"Molina, Emily",True,7.0,15.0,0.0,0.24462027854259671,9.202063964156417e-08,6455
"Morreel, Kris",False,15.0,15.0,0.0,0.21833842336323725,6.345195086159464e-09,4777
"Mourtzinis, Spyridon",False,15.0,15.0,0.0,0.23120262758969176,4.599844392537648e-06,7304
"Muddiman, David C.",False,15.0,15.0,0.0,0.2418851765700994,4.014246807148109e-08,4777
"Murphy, Daniel",False,15.0,15.0,0.0,0.1878052784960801,1.0528904257934668e-09,2384
"Myers, Kevin L.",False,15.0,15.0,0.0,0.22617399901136925,1.4321427533651065e-07,6794
"Naegele, R. P.",False,13.0,15.0,6.0,0.23362863488983635,4.173041227021634e-06,9231
"Naik, Punith P.",False,15.0,15.0,0.0,0.2418851765700994,4.014246807148109e-08,4777
"Nelson, Michael Paul",False,15.0,15.0,0.0,0.2257165408711953,3.5133147478296045e-08,7223
"Nethery, Matthew A.",False,13.0,15.0,13.950000000000003,0.23405887919789242,2.764626161579224e-08,8957
"Newhouse, Andrew",False,15.0,15.0,0.0,0.2257165408711953,3.5133147478296045e-08,7223
"Newlander, Cindy",False,15.0,15.0,0.0,0.1878052784960801,1.0528904257934668e-09,2384
"Neyt, Pia",False,15.0,15.0,0.0,0.26660645612399486,3.997463094925386e-06,764
"Nguyen, Hoang",True,13.0,15.0,8417.828775373444,0.28621919179281874,7.799157574782728e-06,5942
"Niu, Shihui",False,15.0,15.0,0.0,0.2378798513088461,3.39510293146188e-08,4777
"Noevere, Alexander",False,9.0,15.0,0.2857142857142857,0.2070034157486371,5.865853926340628e-10,5280
"Nordberg, Rachel C.",True,11.0,15.0,1.9250000000000003,0.19760310947959403,5.968351045629338e-10,5280
"Novy, Richard",False,15.0,15.0,0.0,0.2535675690653662,1.4899434042126107e-07,5942
"Oh, Young Hoon",False,15.0,15.0,0.0,0.21435431355555035,4.784394941108362e-09,5280
"Olukolu, B.A.",False,15.0,15.0,0.0,0.23549848165114004,2.7017452530490483e-08,7766
"Padilla, Heather M.",False,15.0,15.0,0.0,0.5477707006369427,1.0512309858175321e-18,1214
"Paniagua, Guillermo",False,13.0,15.0,16.0,1.0,3.706620853234896e-24,633
"Park, Jeremy",True,14.0,15.0,77513.50230067645,0.2788748704821113,7.91545014904944e-06,5073
"Peden, David",False,15.0,15.0,0.0,0.24250695640651915,3.9660511735407635e-06,5073
"Peng, Wenbo",False,10.0,15.0,1506.499293659756,0.2126804099751319,3.669360885973688e-09,7553
"Phlips, Edward J.",False,12.0,15.0,636.8329214506916,0.25614398477299444,4.020676969048183e-06,8404
"Potterfield, Tom",False,15.0,15.0,0.0,0.1878052784960801,1.0528904257934668e-09,2384
"Prince, Shannon",False,15.0,15.0,0.0,0.2257165408711953,3.5133147478296045e-08,7223
"Qu, Guanzheng",False,15.0,15.0,0.0,0.2378798513088461,3.39510293146188e-08,4777
"Quesada, Maria Herrera",True,11.0,15.0,9.333333333333334,0.21745639465804859,5.674444216860551e-08,5541
"Ramstein, Guillaume P.",False,15.0,15.0,0.0,0.234960330705831,2.7947470171015856e-08,7766
"Ranney, Thomas",True,15.0,15.0,10062.181858402435,0.26286157469910665,1.4466605376489337e-07,6823
"Raymer, Paul L.",False,15.0,15.0,0.0,0.21257665861364058,3.079326109200278e-08,6823
"Reeves, Gregory T.",False,13.0,15.0,3155.7080361669173,0.26754180797567534,1.2267052555949575e-07,764
"Regner, Matthew R.",False,15.0,15.0,0.0,0.21833842336323725,6.345195086159464e-09,4777
"Resende, Marcio F. R.",False,15.0,15.0,0.0,0.2535675690653662,1.4899434042126107e-07,5942
"Rhoads, Jamie",False,15.0,15.0,0.0,0.24222451626565022,2.4311797520811766e-06,7304
"Richter, Kurt",False,15.0,15.0,0.0,0.2257165408711953,3.3698980924407815e-08,7223
"Rivera, Alissa J.",False,13.0,15.0,6.0,0.23405887919789242,2.7620894840046817e-08,8957
"Roberts, Pamela D.",False,15.0,15.0,0.0,0.22617399901136925,1.4321427533651065e-07,6794
"Rocheford, Torbert R.",False,15.0,15.0,0.0,0.234960330705831,2.7947470171015856e-08,7766
"Rothschild, Lynn J.",False,15.0,15.0,0.0,0.2257165408711953,3.5133147478296045e-08,7223
"Ruelle, Morgan",False,15.0,15.0,0.0,0.2257165408711953,3.3698980924407815e-08,7223
"Rutjes, Floris P. J. T.",False,15.0,15.0,0.0,0.5172413793103449,5.440858154648798e-15,2620
